algorithm,episodes,alpha,gamma,epsilon,episode,reward,steps,reached
sarsa,600,0.1,0.99,0.1,152,8.1000,9,1
sarsa,600,0.1,0.99,0.1,153,9.2000,8,1
sarsa,600,0.1,0.99,0.1,154,9.2000,8,1
sarsa,600,0.1,0.99,0.1,155,8.1000,9,1
sarsa,600,0.1,0.99,0.1,156,9.2000,8,1
sarsa,600,0.1,0.99,0.1,157,9.0000,10,1
sarsa,600,0.1,0.99,0.1,158,9.2000,8,1
sarsa,600,0.1,0.99,0.1,159,9.2000,8,1
sarsa,600,0.1,0.99,0.1,160,9.2000,8,1
sarsa,600,0.1,0.99,0.1,161,9.2000,8,1
sarsa,600,0.1,0.99,0.1,162,7.0000,10,1
sarsa,600,0.1,0.99,0.1,163,9.0000,10,1
sarsa,600,0.1,0.99,0.1,164,9.2000,8,1
sarsa,600,0.1,0.99,0.1,165,7.9000,11,1
sarsa,600,0.1,0.99,0.1,166,9.2000,8,1
sarsa,600,0.1,0.99,0.1,167,9.2000,8,1
sarsa,600,0.1,0.99,0.1,168,9.0000,10,1
sarsa,600,0.1,0.99,0.1,169,9.0000,10,1
sarsa,600,0.1,0.99,0.1,170,9.2000,8,1
sarsa,600,0.1,0.99,0.1,171,9.2000,8,1
sarsa,600,0.1,0.99,0.1,172,9.2000,8,1
sarsa,600,0.1,0.99,0.1,173,8.1000,9,1
sarsa,600,0.1,0.99,0.1,174,9.2000,8,1
sarsa,600,0.1,0.99,0.1,175,9.2000,8,1
sarsa,600,0.1,0.99,0.1,176,9.0000,10,1
sarsa,600,0.1,0.99,0.1,177,8.1000,9,1
sarsa,600,0.1,0.99,0.1,178,9.2000,8,1
sarsa,600,0.1,0.99,0.1,179,8.1000,9,1
sarsa,600,0.1,0.99,0.1,180,9.2000,8,1
sarsa,600,0.1,0.99,0.1,181,8.1000,9,1
sarsa,600,0.1,0.99,0.1,182,8.1000,9,1
sarsa,600,0.1,0.99,0.1,183,9.2000,8,1
sarsa,600,0.1,0.99,0.1,184,8.8000,12,1
sarsa,600,0.1,0.99,0.1,185,9.2000,8,1
sarsa,600,0.1,0.99,0.1,186,8.1000,9,1
sarsa,600,0.1,0.99,0.1,187,9.2000,8,1
sarsa,600,0.1,0.99,0.1,188,9.2000,8,1
sarsa,600,0.1,0.99,0.1,189,9.2000,8,1
sarsa,600,0.1,0.99,0.1,190,9.2000,8,1
sarsa,600,0.1,0.99,0.1,191,9.2000,8,1
sarsa,600,0.1,0.99,0.1,192,9.2000,8,1
sarsa,600,0.1,0.99,0.1,193,8.1000,9,1
sarsa,600,0.1,0.99,0.1,194,7.9000,11,1
sarsa,600,0.1,0.99,0.1,195,8.1000,9,1
sarsa,600,0.1,0.99,0.1,196,9.2000,8,1
sarsa,600,0.1,0.99,0.1,197,9.2000,8,1
sarsa,600,0.1,0.99,0.1,198,8.1000,9,1
sarsa,600,0.1,0.99,0.1,199,9.2000,8,1
sarsa,600,0.1,0.99,0.1,200,9.0000,10,1
sarsa,600,0.1,0.99,0.1,201,9.2000,8,1
sarsa,600,0.1,0.99,0.1,202,9.2000,8,1
sarsa,600,0.1,0.99,0.1,203,9.2000,8,1
sarsa,600,0.1,0.99,0.1,204,9.2000,8,1
sarsa,600,0.1,0.99,0.1,205,7.7000,13,1
sarsa,600,0.1,0.99,0.1,206,9.2000,8,1
sarsa,600,0.1,0.99,0.1,207,9.2000,8,1
sarsa,600,0.1,0.99,0.1,208,9.2000,8,1
sarsa,600,0.1,0.99,0.1,209,9.2000,8,1
sarsa,600,0.1,0.99,0.1,210,9.2000,8,1
sarsa,600,0.1,0.99,0.1,211,9.2000,8,1
sarsa,600,0.1,0.99,0.1,212,8.1000,9,1
sarsa,600,0.1,0.99,0.1,213,9.2000,8,1
sarsa,600,0.1,0.99,0.1,214,9.2000,8,1
sarsa,600,0.1,0.99,0.1,215,9.0000,10,1
sarsa,600,0.1,0.99,0.1,216,9.0000,10,1
sarsa,600,0.1,0.99,0.1,217,9.2000,8,1
sarsa,600,0.1,0.99,0.1,218,8.8000,12,1
sarsa,600,0.1,0.99,0.1,219,7.9000,11,1
sarsa,600,0.1,0.99,0.1,220,9.0000,10,1
sarsa,600,0.1,0.99,0.1,221,9.2000,8,1
sarsa,600,0.1,0.99,0.1,222,9.2000,8,1
sarsa,600,0.1,0.99,0.1,223,9.2000,8,1
sarsa,600,0.1,0.99,0.1,224,9.2000,8,1
sarsa,600,0.1,0.99,0.1,225,9.0000,10,1
sarsa,600,0.1,0.99,0.1,226,9.2000,8,1
sarsa,600,0.1,0.99,0.1,227,9.2000,8,1
sarsa,600,0.1,0.99,0.1,228,9.2000,8,1
sarsa,600,0.1,0.99,0.1,229,9.2000,8,1
sarsa,600,0.1,0.99,0.1,230,9.2000,8,1
sarsa,600,0.1,0.99,0.1,231,9.0000,10,1
sarsa,600,0.1,0.99,0.1,232,9.2000,8,1
sarsa,600,0.1,0.99,0.1,233,9.2000,8,1
sarsa,600,0.1,0.99,0.1,234,9.2000,8,1
sarsa,600,0.1,0.99,0.1,235,9.0000,10,1
sarsa,600,0.1,0.99,0.1,236,6.8000,12,1
sarsa,600,0.1,0.99,0.1,237,9.2000,8,1
sarsa,600,0.1,0.99,0.1,238,7.0000,10,1
sarsa,600,0.1,0.99,0.1,239,8.1000,9,1
