algorithm,episodes,alpha,gamma,epsilon,episode,reward,steps,reached
qlearning,500,0.1,0.99,0.1,146,9.0000,10,1
qlearning,500,0.1,0.99,0.1,147,9.2000,8,1
qlearning,500,0.1,0.99,0.1,148,9.2000,8,1
qlearning,500,0.1,0.99,0.1,149,9.0000,10,1
qlearning,500,0.1,0.99,0.1,150,9.0000,10,1
qlearning,500,0.1,0.99,0.1,151,9.2000,8,1
qlearning,500,0.1,0.99,0.1,152,9.2000,8,1
qlearning,500,0.1,0.99,0.1,153,9.2000,8,1
qlearning,500,0.1,0.99,0.1,154,8.1000,9,1
qlearning,500,0.1,0.99,0.1,155,9.2000,8,1
qlearning,500,0.1,0.99,0.1,156,8.6000,14,1
qlearning,500,0.1,0.99,0.1,157,9.2000,8,1
qlearning,500,0.1,0.99,0.1,158,7.0000,10,1
qlearning,500,0.1,0.99,0.1,159,9.0000,10,1
qlearning,500,0.1,0.99,0.1,160,9.2000,8,1
qlearning,500,0.1,0.99,0.1,161,9.2000,8,1
qlearning,500,0.1,0.99,0.1,162,9.0000,10,1
qlearning,500,0.1,0.99,0.1,163,9.2000,8,1
qlearning,500,0.1,0.99,0.1,164,9.2000,8,1
qlearning,500,0.1,0.99,0.1,165,9.0000,10,1
qlearning,500,0.1,0.99,0.1,166,7.9000,11,1
qlearning,500,0.1,0.99,0.1,167,8.1000,9,1
qlearning,500,0.1,0.99,0.1,168,9.2000,8,1
qlearning,500,0.1,0.99,0.1,169,9.2000,8,1
qlearning,500,0.1,0.99,0.1,170,9.2000,8,1
qlearning,500,0.1,0.99,0.1,171,9.0000,10,1
qlearning,500,0.1,0.99,0.1,172,9.0000,10,1
qlearning,500,0.1,0.99,0.1,173,9.2000,8,1
qlearning,500,0.1,0.99,0.1,174,9.2000,8,1
qlearning,500,0.1,0.99,0.1,175,9.2000,8,1
qlearning,500,0.1,0.99,0.1,176,8.1000,9,1
qlearning,500,0.1,0.99,0.1,177,9.2000,8,1
qlearning,500,0.1,0.99,0.1,178,8.1000,9,1
qlearning,500,0.1,0.99,0.1,179,8.1000,9,1
qlearning,500,0.1,0.99,0.1,180,8.1000,9,1
qlearning,500,0.1,0.99,0.1,181,9.2000,8,1
qlearning,500,0.1,0.99,0.1,182,9.2000,8,1
qlearning,500,0.1,0.99,0.1,183,9.0000,10,1
qlearning,500,0.1,0.99,0.1,184,9.2000,8,1
qlearning,500,0.1,0.99,0.1,185,8.1000,9,1
